product_id,merchant_id,name,description,price,currency,category,image_url,size,color,availability,brand,activity,waterproof,cushioning,width,closure,support,drop_mm,weight_g
prod_001,merchant_123,Classic Canvas Low-Top,"Cotton canvas upper, vulcanized rubber sole, and a slim low-profile silhouette.",55.00,USD,fashion,https://picsum.photos/seed/prod_001/400/300,7|8|9|10|11|12,white|black|navy,true,Heritage,casual,,minimal,regular,lace,,,
prod_002,merchant_123,Everyday Leather Sneaker,"Full-grain leather upper with a cushioned foam midsole for all-day wear.",95.00,USD,fashion,https://picsum.photos/seed/prod_002/400/300,7|8|9|10|11|12,white|tan|black,true,Heritage,casual,,balanced,regular,lace,,,
prod_003,merchant_123,Trail Running Shoe,"Aggressive lugged outsole and a rock plate for technical, uneven terrain.",128.00,USD,fashion,https://picsum.photos/seed/prod_003/400/300,8|9|10|11|12,forest green|charcoal|clay,true,Cadence,trail,,balanced,regular,lace,neutral,8,310
prod_004,merchant_123,Road Running Shoe,"Lightweight engineered mesh and a responsive EVA foam midsole for daily miles.",138.00,USD,fashion,https://picsum.photos/seed/prod_004/400/300,7|8|9|10|11|12,blue|black|volt,true,Cadence,road,,high,regular,lace,neutral,10,258
prod_005,merchant_123,Marathon Racing Flat,"Carbon-plated race-day shoe at 6.4 oz with a propulsive rocker geometry.",155.00,USD,fashion,https://picsum.photos/seed/prod_005/400/300,8|9|10|11,orange|white,true,Cadence,road,,balanced,regular,lace,neutral,8,181
prod_006,merchant_123,Suede Chukka Boot,Two-eyelet suede chukka on a natural crepe sole.,120.00,USD,fashion,https://picsum.photos/seed/prod_006/400/300,7|8|9|10|11|12,sand|dark brown|grey,true,Heritage,casual,,minimal,regular,lace,,,
prod_007,merchant_123,Waterproof Hiking Boot,"Seam-sealed waterproof membrane, protective toe cap, and a grippy multi-terrain outsole.",159.00,USD,fashion,https://picsum.photos/seed/prod_007/400/300,8|9|10|11|12,brown|black,true,Voyager,trail,yes,balanced,regular,lace,stability,,520
prod_008,merchant_123,Chelsea Boot,Elastic-gore leather Chelsea boot with a stacked leather heel.,135.00,USD,fashion,https://picsum.photos/seed/prod_008/400/300,7|8|9|10|11|12,black|chestnut,false,Heritage,casual,,minimal,regular,slip-on,,,
prod_009,merchant_123,Penny Loafer,Hand-stitched moc-toe penny loafer in polished calf leather.,110.00,USD,fashion,https://picsum.photos/seed/prod_009/400/300,7|8|9|10|11|12,burgundy|black|brown,true,Heritage,casual,,minimal,regular,slip-on,,,
prod_010,merchant_123,Driving Moccasin,Soft deerskin upper with a rubber-nub sole for grip behind the wheel.,98.00,USD,fashion,https://picsum.photos/seed/prod_010/400/300,7|8|9|10|11|12,navy|tan|grey,true,Heritage,casual,,minimal,regular,slip-on,,,
prod_011,merchant_123,Cap-Toe Oxford,Closed-lacing cap-toe oxford with a Goodyear-welted leather sole.,145.00,USD,fashion,https://picsum.photos/seed/prod_011/400/300,7|8|9|10|11|12,black|oxblood,true,Heritage,casual,,minimal,regular,lace,,,
prod_012,merchant_123,Double Monk Strap,Two-buckle monk strap in burnished calfskin.,150.00,USD,fashion,https://picsum.photos/seed/prod_012/400/300,7|8|9|10|11|12,dark brown|black,true,Heritage,casual,,minimal,regular,,,,
prod_013,merchant_123,Leather Footbed Sandal,Adjustable triple-strap sandal on a contoured vegetable-tanned leather footbed.,65.00,USD,fashion,https://picsum.photos/seed/prod_013/400/300,6|7|8|9|10|11,tan|black|white,true,Heritage,casual,,minimal,regular,velcro,,,
prod_014,merchant_123,Sport Slide,Contoured EVA slide with a quick-dry footbed.,35.00,USD,fashion,https://picsum.photos/seed/prod_014/400/300,7|8|9|10|11|12,black|blue|red,true,Cadence,walking,,minimal,regular,slip-on,,,
prod_015,merchant_123,Block Heel Ankle Boot,50mm block-heel ankle boot with an inside zip and almond toe.,125.00,USD,fashion,https://picsum.photos/seed/prod_015/400/300,5|6|7|8|9|10,black|taupe|cognac,true,Heritage,casual,,minimal,narrow,slip-on,,,
prod_016,merchant_123,Almond-Toe Ballet Flat,Ballet flat with a padded collar and a flexible split sole.,72.00,USD,fashion,https://picsum.photos/seed/prod_016/400/300,5|6|7|8|9|10,blush|black|leopard,true,Heritage,casual,,minimal,narrow,slip-on,,,
prod_017,merchant_123,Merino Wool Slip-On,Machine-washable merino wool upper slip-on with a lightweight foam sole.,85.00,USD,fashion,https://picsum.photos/seed/prod_017/400/300,6|7|8|9|10|11|12,heather grey|navy|natural,true,Cadence,walking,,balanced,regular,slip-on,,,210
prod_018,merchant_123,Insulated Winter Boot,Fleece-lined weatherproof winter boot rated to -25 degrees Fahrenheit.,148.00,USD,fashion,https://picsum.photos/seed/prod_018/400/300,8|9|10|11|12,black|brown,true,Voyager,walking,yes,balanced,wide,lace,,,640
